Data,Ricoverati con sintomi,Terapia intensiva,Isolamento domiciliare,Totale positivi,Dimessi,Deceduti,Totale,Tamponi
27/03/2020,11137,1292,11466,23895,8001,5402,37298,95860
26/03/2020,10681,1263,10245,22189,7839,4861,34889,87713
25/03/2020,10026,1236,9329,20591,7281,4474,32346,81666
24/03/2020,9711,1194,8963,19868,6657,4178,30703,76695
23/03/2020,9266,1183,8461,18910,6075,3776,28761,73242
22/03/2020,9436,1142,7304,17885,5865,3456,27206,70598
21/03/2020,8258,1093,8019,17730,5050,3095,25515,66730
20/03/2020,7735,1050,6635,15420,4295,2549,22264,57174
19/03/2020,7387,1006,5545,13938,3778,2168,19884,52244
18/03/2020,7285,924,4057,12266,3488,1959,17713,48983
17/03/2020,6953,879,4263,12095,2485,1640,16220,46449
16/03/2020,6171,823,3867,10861,2368,1420,14649,43565
15/03/2020,5550,767,3776,10043,2011,1218,13272,40369
14/03/2020,4898,732,3429,9059,1660,966,11685,37138
13/03/2020,4435,650,2647,7732,1198,890,9820,32700
12/03/2020,4247,605,2044,6896,1085,744,8725,29534
11/03/2020,3852,560,1351,5763,900,617,7280,25629
10/03/2020,3319,466,642,4427,896,468,5791,21479
09/03/2020,2802,440,1248,4490,646,333,5469,20135
08/03/2020,2217,399,756,3372,550,267,4189,18534
07/03/2020,1661,359,722,2742,524,15,3420,15778
06/03/2020,1622,309,77,2008,469,135,2612,13556
05/03/2020,1169,244,364,1777,376,98,2251,12354
04/03/2020,877,209,411,1497,250,73,1820,12138
03/03/2020,698,167,461,1326,139,55,1520,9577
02/03/2020,478,127,472,1077,139,38,1254,7925
01/03/2020,406,106,375,887,73,24,984,6879
